"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"1","Annetha",1,1,2,"Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream","IN","Annetha Mills",30,"Midwife","Essex"
"2","David",1,1,3,"Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs","IN","David Chambers",31,"Entrepreneur","Milton Keynes"
"3","Edd",1,1,1,"Caramel Cinnamon and Banana Cake",NA,"IN","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
"4","Jasminder",1,1,NA,"Fresh Mango and Passion Fruit Hummingbird Cake",NA,"IN","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
"5","Jonathan",1,1,9,"Carrot Cake with Lime and Cream Cheese Icing","Three Tiered White and Dark Chocolate with Almond and Cherry","IN","Jonathan Shepherd",25,"Research Analyst","St Albans"
"6","Louise",1,1,NA,"Carrot and Orange Cake","Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border","IN","Louise Brimelow",44,"Police Officer","Manchester"
"7","Miranda",1,1,8,"Triple Layered Brownie Meringue Cake
with Raspberry Cream","Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations","IN","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"8","Ruth",1,1,NA,"Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles","IN","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
"9","Lea",1,1,10,"Cranberry and Pistachio Cakewith Orange Flower Water Icing","Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit","OUT","Lea Harris",51,"Retired","Midlothian, Scotland"
"10","Mark",1,1,NA,"Sticky Marmalade Tea Loaf","Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.","OUT","Mark Whithers",48,"Bus Driver","South Wales"
"11","David",1,2,8,"Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles","IN","David Chambers",31,"Entrepreneur","Milton Keynes"
"12","Edd",1,2,6,"Oatmeal Raisin Cookie","Pink Macarons","IN","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
"13","Jasminder",1,2,2,"Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs","IN","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
"14","Jonathan",1,2,1,"Honey and Candied Ginger Cookies","Meringues with Whiskey Cream","IN","Jonathan Shepherd",25,"Research Analyst","St Albans"
"15","Miranda",1,2,3,"Fresh Vanilla Biscuits with Royal Icing","Pistachio Macarons","IN","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"16","Ruth",1,2,5,"Peanut Shortbread withSalted Peanut Caramel","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs","IN","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
"17","Annetha",1,2,7,"Rose Petal Shortbread","Pink Swirl Macarons / Eclairs","OUT","Annetha Mills",30,"Midwife","Essex"
"18","Louise",1,2,4,"Stained Glass Window Shortbread","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons","OUT","Louise Brimelow",44,"Police Officer","Manchester"
"19","Lea",1,2,NA,NA,NA,NA,"Lea Harris",51,"Retired","Midlothian, Scotland"
"20","Mark",1,2,NA,NA,NA,NA,"Mark Whithers",48,"Bus Driver","South Wales"
"21","David",1,3,4,"Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun","IN","David Chambers",31,"Entrepreneur","Milton Keynes"
"22","Edd",1,3,1,"Olive Bread","Tomato and Mozzarella","IN","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
"23","Jasminder",1,3,5,"Focaccia","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots","IN","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
"24","Miranda",1,3,3,"Walnut and Apricot Bread","Lemon Iced Buns
Chocolate and Orange Buns","IN","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"25","Ruth",1,3,2,"Maple and Pecan Bread","Chocolate and Orange Panettone
Cranberry Bagels","IN","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
